open_time,open,high,low,close,volume
2025-05-24 19:00:00,675.44,676.85,675.07,676.74,8382.02
2025-05-24 20:00:00,676.73,676.94,671.8,672.6,21073.73
2025-05-24 21:00:00,672.59,673.1,669.75,671.65,19315.48
2025-05-24 22:00:00,671.66,671.66,669.05,669.44,15523.58
2025-05-24 23:00:00,669.44,669.45,666.0,667.89,24659.96
2025-05-25 00:00:00,667.89,668.33,661.7,662.95,39876.1
2025-05-25 01:00:00,662.96,665.6,659.78,663.46,35176.7
2025-05-25 02:00:00,663.47,666.17,661.6,665.96,14886.64
2025-05-25 03:00:00,665.96,666.84,665.45,665.61,11257.05
2025-05-25 04:00:00,665.62,666.2,663.7,666.0,8583.09
2025-05-25 05:00:00,666.0,666.09,663.6,664.34,9604.07
2025-05-25 06:00:00,664.34,664.58,662.54,662.58,8079.03
2025-05-25 07:00:00,662.58,662.64,659.79,661.65,29573.93
2025-05-25 08:00:00,661.66,661.68,656.49,658.46,29890.45
2025-05-25 09:00:00,658.45,660.5,657.62,659.76,34438.85
2025-05-25 10:00:00,659.76,661.56,659.73,660.39,16505.61
2025-05-25 11:00:00,660.39,662.5,659.96,661.52,15891.58
2025-05-25 12:00:00,661.52,664.54,661.36,664.06,22824.31
2025-05-25 13:00:00,664.05,667.09,663.89,666.33,20062.62
2025-05-25 14:00:00,666.34,667.95,663.46,664.69,23322.19
2025-05-25 15:00:00,664.7,665.6,660.7,663.03,25375.94
2025-05-25 16:00:00,663.03,666.13,661.62,665.7,13906.47
2025-05-25 17:00:00,665.7,666.6,664.01,664.91,13357.26
2025-05-25 18:00:00,664.92,666.01,664.7,664.83,6361.95
2025-05-25 19:00:00,664.83,668.28,664.83,667.2,9372.73
2025-05-25 20:00:00,667.21,668.0,666.56,666.95,11058.36
2025-05-25 21:00:00,666.95,668.92,665.5,666.16,7766.19
2025-05-25 22:00:00,666.17,671.54,665.9,670.61,24767.21
2025-05-25 23:00:00,670.62,671.31,669.0,669.13,12785.51
2025-05-26 00:00:00,669.12,671.42,667.98,671.27,20136.62
2025-05-26 01:00:00,671.26,672.23,669.55,671.48,20058.03
2025-05-26 02:00:00,671.48,671.57,669.74,671.07,12100.17
2025-05-26 03:00:00,671.08,675.48,669.82,674.05,25542.34
2025-05-26 04:00:00,674.05,674.3,673.18,673.18,11918.1
2025-05-26 05:00:00,673.19,673.85,671.52,673.56,11147.93
2025-05-26 06:00:00,673.57,673.96,671.77,673.82,11633.41
2025-05-26 07:00:00,673.83,675.42,672.91,674.43,17659.66
2025-05-26 08:00:00,674.43,675.22,672.51,672.77,16079.08
2025-05-26 09:00:00,672.76,674.22,671.94,672.71,10940.36
2025-05-26 10:00:00,672.71,674.93,672.67,674.71,10838.87
2025-05-26 11:00:00,674.71,675.26,673.01,673.88,14933.05
2025-05-26 12:00:00,673.88,675.52,673.07,675.49,11248.65
2025-05-26 13:00:00,675.49,676.1,671.32,671.82,20195.96
2025-05-26 14:00:00,671.83,674.0,670.82,673.51,17585.14
2025-05-26 15:00:00,673.52,675.52,672.5,675.09,15567.81
2025-05-26 16:00:00,675.1,677.5,672.61,675.72,33847.54
2025-05-26 17:00:00,675.72,676.16,670.86,672.5,17834.88
2025-05-26 18:00:00,672.51,673.56,671.0,671.16,8774.37
2025-05-26 19:00:00,671.16,673.22,670.31,672.03,8293.06
2025-05-26 20:00:00,672.04,674.43,671.06,673.56,8377.96
2025-05-26 21:00:00,673.56,674.0,671.7,672.38,5858.51
2025-05-26 22:00:00,672.39,674.89,672.37,672.96,7122.15
2025-05-26 23:00:00,672.97,674.12,672.04,673.91,5455.09
2025-05-27 00:00:00,673.92,674.2,672.17,672.4,9720.82
2025-05-27 01:00:00,672.41,672.42,666.12,668.72,36217.75
2025-05-27 02:00:00,668.73,672.98,668.54,672.73,18493.8
2025-05-27 03:00:00,672.72,674.63,672.37,673.91,17532.01
2025-05-27 04:00:00,673.92,675.19,673.06,673.87,12416.96
2025-05-27 05:00:00,673.87,674.94,672.65,674.76,10481.37
2025-05-27 06:00:00,674.77,681.8,674.72,677.73,64154.75
2025-05-27 07:00:00,677.73,681.31,677.73,680.67,24986.18
2025-05-27 08:00:00,680.69,684.28,680.67,681.18,42136.11
2025-05-27 09:00:00,681.19,683.79,680.95,682.03,33204.89
2025-05-27 10:00:00,682.03,682.63,679.56,680.16,33944.96
2025-05-27 11:00:00,680.15,682.11,679.75,681.91,17924.62
2025-05-27 12:00:00,681.92,683.98,681.85,683.57,19740.06
2025-05-27 13:00:00,683.57,689.2,683.56,688.59,56001.82
2025-05-27 14:00:00,688.59,698.0,687.0,688.77,154721.44
2025-05-27 15:00:00,688.77,693.44,686.13,690.76,46719.89
2025-05-27 16:00:00,690.77,694.35,689.42,692.0,40645.78
2025-05-27 17:00:00,692.0,694.26,690.03,690.31,21128.61
2025-05-27 18:00:00,690.31,691.62,688.0,688.98,15393.87
2025-05-27 19:00:00,688.98,691.21,688.44,689.57,9241.35
2025-05-27 20:00:00,689.56,689.85,688.05,688.32,9087.75
2025-05-27 21:00:00,688.32,689.88,686.71,688.32,11188.93
2025-05-27 22:00:00,688.33,689.31,686.42,687.86,12020.35
2025-05-27 23:00:00,687.85,688.84,686.0,687.14,19532.11
2025-05-28 00:00:00,687.14,687.36,684.06,685.86,24844.34
